ProductName,SATID,Mode,Level,Status,FailedQC,QCProcessingTime(sec),QC1Status,NumberLostline,QC2Status,ViewingAngleAlongTrack,ViewingAngleAcrossTrack,QC3Status,MissingFile,ErrorFile,QC4Status,NoDataPercentage,QC5Status,CloudCoverPercentage,QC6Status,UsedCPF,QC7Status,Mode,QC8Status,PointingError
TH_CAT_201116064834169_1_1M_S1733894_R63167_08NOV2020,TH1,MS,1A,NOT PASS ,['QC7Mode'],3.01,PASS,0,PASS,-5.080756,0.518662,PASS,[],[],PASS,"[0.0, 0.0, 0.0, 0.0]",PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,NOT PASS ,"[10, 56, 34, 80]",PASS,9999
TH_CAT_201116064846818_1_2M_S1733894_R63167_08NOV2020,TH1,MS,2A,NOT PASS ,['QC7Mode'],4.237,PASS,0,PASS,-5.080756,0.518662,PASS,[],[],PASS,"[0.0, 0.0, 0.0, 0.0]",PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,NOT PASS ,"[34, 10, 80, 56]",PASS,9999
TH_CAT_201116064931126_1_1M_S1733895_R63167_08NOV2020,TH1,MS,1A,NOT PASS ,['QC7Mode'],3.067,PASS,0,PASS,-5.082769,0.518193,PASS,[],[],PASS,"[0.0, 0.0, 0.0, 0.0]",PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,NOT PASS ,"[12, 36, 53, 80]",PASS,9999
TH_CAT_201116064945563_1_2M_S1733895_R63167_08NOV2020,TH1,MS,2A,NOT PASS ,['QC7Mode'],4.205,PASS,0,PASS,-5.082769,0.518193,PASS,[],[],PASS,"[0.0, 0.0, 0.0, 0.0]",PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,NOT PASS ,"[12, 36, 80, 53]",PASS,9999
TH_CAT_201116065024171_1_1M_S1733896_R63167_08NOV2020,TH1,MS,1A,NOT PASS ,['QC7Mode'],3.138,PASS,0,PASS,-5.080681,0.518436,PASS,[],[],PASS,"[0.0, 0.0, 0.0, 0.0]",PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,NOT PASS ,"[16, 255, 255, 255]",PASS,9999
TH_CAT_201116065039799_1_2M_S1733896_R63167_08NOV2020,TH1,MS,2A,NOT PASS ,['QC7Mode'],4.089,PASS,0,PASS,-5.080681,0.518436,PASS,[],[],PASS,"[0.0, 0.0, 0.0, 0.0]",PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,NOT PASS ,"[16, 255, 255, 255]",PASS,9999
TH_CAT_201116065117860_1_1M_S1733897_R63167_08NOV2020,TH1,MS,1A,NOT PASS ,['QC7Mode'],3.279,PASS,0,PASS,-5.080555,0.517673,PASS,[],[],PASS,"[0.0, 0.0, 0.0, 0.0]",PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,NOT PASS ,"[23, 255, 255, 255]",PASS,9999
TH_CAT_201116065130608_1_2M_S1733897_R63167_08NOV2020,TH1,MS,2A,NOT PASS ,['QC7Mode'],4.004,PASS,0,PASS,-5.080555,0.517673,PASS,[],[],PASS,"[0.0, 0.0, 0.0, 0.0]",PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,NOT PASS ,"[23, 255, 255, 255]",PASS,9999
TH_CAT_201116065212595_1_1M_S1733898_R63167_08NOV2020,TH1,MS,1A,NOT PASS ,['QC7Mode'],3.434,PASS,0,PASS,-5.08071,0.518438,PASS,[],[],PASS,"[0.0, 0.0, 0.0, 0.0]",PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,NOT PASS ,"[28, 255, 255, 255]",PASS,9999
TH_CAT_20111606522798_1_2M_S1733898_R63167_08NOV2020,TH1,MS,2A,NOT PASS ,['QC7Mode'],4.06,PASS,0,PASS,-5.08071,0.518438,PASS,[],[],PASS,"[0.0, 0.0, 0.0, 0.0]",PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,NOT PASS ,"[28, 255, 255, 255]",PASS,9999
